number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
140, Netherlands Antilles,1952,2008,52,11,0,1,0,1,1988,1992,3,2,0,0,0,0,Jan Boersma (1 medal),No,,,,0,0,0,0,0,,3,the Netherlands or Aruba,FALSE,1992
141, New Zealand,1900,2016,"1,238",33,46,27,44,117,1952,2014,90,11,0,1,0,1,Mark Todd (6 medals),Yes,0,0,2,2,0,1,2,3,21,111,,TRUE,2018
142, Newfoundland,1904,1904,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Canada,FALSE,0
143, Nicaragua,1968,2016,95,10,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
144, Niger,1964,2016,42,6,0,1,1,2,0,0,0,0,0,0,0,0,3 athletes with 2 medals,Yes,,,,0,0,0,0,0,,0,,FALSE,0
145, Nigeria,1952,2016,565,15,3,8,13,24,2018,0,0,0,0,0,0,0,Issaka Dabore and Razak Alfaga (1 medal),Yes,,,,0,0,0,0,0,3,3,,TRUE,2018
146, North Borneo,1956,1956,2,1,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Malaysia,FALSE,0
147, North Korea,1972,2016,343,16,16,15,23,54,1964,2010,62,5,0,1,1,2,Kye Sun-Hui (3 medals),Yes,,,,0,0,1,1,2,10,72,,TRUE,2018
148, North Yemen,1984,1988,10,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,No,,,,0,0,0,0,0,,0,Yemen,FALSE,0
149, Norway,1900,2016,"1,404",28,59,51,48,158,1924,2014,820,15,118,111,100,329,Marit Bjørgen (15 medals),Yes,14,14,11,39,132,125,111,368,109,929,,TRUE,2018
150,Olympic Athletes from Russia (OAR),0,0,0,0,0,0,0,0,2018,2018,168,15,2,6,9,17,Aleksandr Bolshunov (4 medals),Yes,,,,0,2,6,9,17,168,336,,TRUE,2018
151, Oman,1984,2016,42,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
152, Pakistan,1948,2016,361,12,3,3,4,10,2010,2014,2,1,0,0,0,0,6 athletes with 3 medals,Yes,,,,0,0,0,0,0,2,4,,TRUE,2018
153, Palau,2000,2016,21,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
154, Palestine,1996,2016,20,4,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
155, Panama,1928,2016,86,12,1,0,2,3,0,0,0,0,0,0,0,0,Lloyd LaBeach (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
